n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
CAPG;Sodetrel;WiiiZ;FR*A17*P*WIIZ*3*_*_*_;Pégomas Parking Parchois;D109A;6090;6.92641;43.59413;2;FR*A17*E*WIIZ*3*1*1*_;22kW;T2 - E/F;Payant (badge, appli et QR code);24h/24;RAS;31/03/2018
CAPG;Sodetrel;WiiiZ;FR*A17*P*WIIZ*3*_*_*_;Pégomas Parking Parchois;D109A;6090;6.92641;43.59413;2;FR*A17*E*WIIZ*3*1*2*_;22kW;T2 - E/F;Payant (badge, appli et QR code);24h/24;RAS;31/03/2018
