n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj;source
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34159*001;MIREVAL - Parking Halle Des Sports;Parking Halle Des Sports 34110 MIREVAL;34159;3.799119444;43.5090444;2;FR*S34*E34159*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34300*002;SERVIAN - Parking Covoiturage;Parking Covoiturage 34290 SERVIAN;34300;3.335267901;43.39648446;2;FR*S34*E34300*002*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34192*002;PALAVAS - Avenue Marechal Foffre;Avenue Marechal Foffre 34250 PALAVAS;34192;3.933443;43.52859;2;FR*S34*E34192*002*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34162*001;MONTAGNAC - Avenue Du 11 Novembre;Avenue Du 11 Novembre 34400 MONTAGNAC;34162;3.48299444;43.4804639;2;FR*S34*E34162*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34031*001;BESSAN - Chemin De La Croix De Redon;Chemin De La Croix De Redon 34550 BESSAN;34031;3.425018;43.357625;2;FR*S34*E34031*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34113*001;GIGEAN - Parc De La Mairie;Parc De La Mairie 34770 GIGEAN;34113;3.712527778;43.4996083;2;FR*S34*E34113*001*1;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34148*001;MARAUSSAN - Place Marcel Barrere;Place Marcel Barrere 34370 MARAUSSAN;34148;3.156966667;43.3659083;2;FR*S34*E34148*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34052*001;CAPESTANG - Avenue De L'Occitanie Parking Centre Médical;Avenue De L'Occitanie Parking Centre Médical 34310 CAPESTANG;34052;3.045;43.33;2;FR*S34*E34052*001*2;22;EF - T2 - T3;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34281*001;SAINT PARGOIRE - Parking Du Stade;Parking Du Stade 34230 SAINT PARGOIRE;34281;3.519347222;43.5296611;2;FR*S34*E34281*001*2;22;T2 - EF;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
Herault Energies 34;BOUYGUES ENERGIES ET SERVICES;Révéo;FR*S34*P34301*003;Sete Médiatheque - Boulevard Casanova ou sur parking médiathèque(rue député Molle);Boulevard Casanova ou sur parking médiathèque(rue député Molle) 34200 Sete Médiatheque;34301;3.694225;43.4064528;4;FR*S34*E34301*003*1;43;T2;2|3;Informations tarifaires disponibles sur le site de RÉVÉO : https://www.reveocharge.com/fr/comment-ca-marche/tarifs-de-recharge/;Payant;2018/08/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-reveo-1/#resource-082490a9-bd8e-456b-8c4c-6b3450c3806b
